name,department,college,affiliation
Sindee Simon,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering
Lian Xie,"Marine, Earth, and Atmospheric Sciences",College of Sciences,"Marine, Earth, and Atmospheric Sciences; Coastal and Marine Sciences Program"
Marina Bykova,Philosophy and Religious Studies,College of Humanities and Social Sciences,Philosophy and Religious Studies
Matthew Booker,History,College of Humanities and Social Sciences,"History; Visual Narrative; Genetic Engineering and Society; Global Water, Sanitation and Hygiene; History; Genetic Engineering and Society Center"
David Rieder,English,College of Humanities and Social Sciences,English; Communication Rhetoric and Digital Media
David Rieder,English,College of Humanities and Social Sciences,English; Communication Rhetoric and Digital Media
Xiangdong Zhang,"Marine, Earth, and Atmospheric Sciences",College of Sciences,"Marine, Earth, and Atmospheric Sciences"
Ekrem Ozlu,Crop and Soil Sciences,College of Agriculture and Life Sciences,Crop and Soil Sciences; Coastal Resilience and Sustainability Initiative
Gareth Powell,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Global One Health Academy
Glenn Cruse,Molecular Biomedical Sciences,College of Veterinary Medicine,Molecular Biomedical Sciences; Molecular Biomedical Sciences; Comparative Medicine Institute
Gareth Powell,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Global One Health Academy
Gregory Lewbart,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute; Coastal and Marine Sciences Program; Comparative Medicine Institute; Coastal Resilience and Sustainability Initiative; Clinical Sciences; Global One Health Academy
Ignazio Carbone,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Genetics and Genomics Academy; Center for Integrated Fungal Research; N.C. Plant Sciences Initiative
Jean Ristaino,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Genomic Sciences; Emerging Plant Disease and Global Food Security; Entomology and Plant Pathology; Genetic Engineering and Society; Entomology and Plant Pathology; Genetics and Genomics Academy; Entomology and Plant Pathology; Genetic Engineering and Society Center; N.C. Plant Sciences Initiative
Xiaoning Jiang,Mechanical and Aerospace Engineering,College of Engineering,Mechanical and Aerospace Engineering; Coastal Resilience and Sustainability Initiative; Advanced Self Powered Systems of Sensors and Technologies Center
Omer Oralkan,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Advanced Self Powered Systems of Sensors and Technologies Center; N.C. Plant Sciences Initiative
Yalcin Yamaner,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Qing Gu,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Electrical and Computer Engineering; Carbon Electronics
Allison Kendall,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Katharina Stapelmann,Nuclear Engineering,College of Engineering,Nuclear Engineering; N.C. Plant Sciences Initiative; Global One Health Academy
Kenneth Anderson,Prestage Department of Poultry Science,College of Agriculture and Life Sciences,Prestage Department of Poultry Science; Comparative Medicine Institute
Sanjay Shah,Biological and Agricultural Engineering,College of Agriculture and Life Sciences,Biological and Agricultural Engineering; Biological and Agricultural Engineering
Ramon Malheiros,Prestage Department of Poultry Science,College of Agriculture and Life Sciences,Prestage Department of Poultry Science
Felix Castellano,Chemistry,College of Sciences,Chemistry; Comparative Medicine Institute
Haotian Zheng,"Food, Bioprocessing, and Nutrition Sciences",College of Agriculture and Life Sciences,"Food, Bioprocessing, and Nutrition Sciences; Southeast Dairy Foods Research Center; Global One Health Academy; Food, Bioprocessing, and Nutrition Sciences; Bezos Center for Sustainable Protein"
Elena Jakubikova,Chemistry,College of Sciences,Chemistry
Gregory Parsons,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Materials Science and Engineering; Center for Dielectrics and Piezoelectrics
Elena Jakubikova,Chemistry,College of Sciences,Chemistry
Brandon McConnell,Edward P. Fitts Department of Industrial & Systems Engineering,College of Engineering,Edward P. Fitts Department of Industrial & Systems Engineering; Center for Additive Manufacturing and Logistics; Operations Research
Russell King,Edward P. Fitts Department of Industrial & Systems Engineering,College of Engineering,Edward P. Fitts Department of Industrial & Systems Engineering; Operations Research; Center for Additive Manufacturing and Logistics; Edward P. Fitts Department of Industrial & Systems Engineering; Bezos Center for Sustainable Protein
Michael Kay,Edward P. Fitts Department of Industrial & Systems Engineering,College of Engineering,Edward P. Fitts Department of Industrial & Systems Engineering; Operations Research; Center for Additive Manufacturing and Logistics
Florian Laggner,Nuclear Engineering,College of Engineering,Nuclear Engineering
Bharat Gwalani,Materials Science and Engineering,College of Engineering,Materials Science and Engineering
Elizabeth Kautz,Nuclear Engineering,College of Engineering,Nuclear Engineering
Elena Jakubikova,Chemistry,College of Sciences,Chemistry
Felix Castellano,Chemistry,College of Sciences,Chemistry; Comparative Medicine Institute
Andrew Manion,Mathematics,College of Sciences,Mathematics
James Kerns,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Center for Turfgrass Environmental Research and Education
Susana Milla-Lewis,Crop and Soil Sciences,College of Agriculture and Life Sciences,Genetics and Genomics Academy; Crop and Soil Sciences; Center for Turfgrass Environmental Research and Education
Saad Khan,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Global One Health Academy
Paul Mozdziak,Prestage Department of Poultry Science,College of Agriculture and Life Sciences,Prestage Department of Poultry Science; Comparative Medicine Institute; Coastal Resilience and Sustainability Initiative; Global One Health Academy
Shuijin Hu,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Genetic Engineering and Society; Center for Integrated Fungal Research; KIETS Climate Leaders Program; Genetic Engineering and Society Center
Giuseppe Valacchi,Kannapolis Research,College of Agriculture and Life Sciences,Kannapolis Research
Sonja Salmon,"Textile Engineering, Chemistry and Science",Wilson College of Textiles,"Textile Engineering, Chemistry and Science; Coastal Resilience and Sustainability Initiative; N.C. Plant Sciences Initiative"
Jialong Shen,"Textile Engineering, Chemistry and Science",Wilson College of Textiles,"Textile Engineering, Chemistry and Science"
Igor Bolotnov,Nuclear Engineering,College of Engineering,Nuclear Engineering
Xiaotong Li,Chemistry,College of Sciences,Chemistry; Chemistry; Carbon Electronics
Luke Neal,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering
Fanxing Li,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Energy Collaborative; KIETS Climate Leaders Program
Andrew Weaver,Animal Science,College of Agriculture and Life Sciences,Animal Science
Moody Chu,Mathematics,College of Sciences,Mathematics
Dali Sun,Physics,College of Sciences,Physics
